duration,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,reward,self-intersections
0.5237812995910645,0,0.21912311,1.3147386,0.5867768,4.8360085,0.5364298,19.311474,2.3293679,0.342,0.06724208,0.13333334,0.13333334,0.13333334,0.33333334,0.26666668,1.3755492,0.0
0.4799215793609619,0,0.16173728,0.97042364,0.36827096,5.7228794,0.64402306,23.18483,3.063478,0.335,0.08001864,0.06666667,0.2,0.13333334,0.13333334,0.46666667,1.4933324,0.0
0.5039587020874023,0,0.19381978,1.3567384,0.38570735,4.8664885,0.7366261,36.094677,2.7594984,0.0,0.11648319,0.2857143,0.23809524,0.0,0.33333334,0.14285715,1.4477684,0.0
0.5023632049560547,0,0.08152071,0.32608283,0.16681913,4.574368,0.26762316,4.2819705,1.1672679,0.41,0.03173691,0.0,0.0,0.0,0.5,0.5,1.6382648,0.0
0.4728269577026367,0,0.11865014,0.35595042,0.19399114,4.670269,0.19300187,1.7370168,0.7601283,0.441,0.07417042,0.33333334,0.0,0.33333334,0.33333334,0.0,1.5935197,0.0
0.5304422378540039,0,0.17416753,0.8708376,0.24279493,6.0990624,0.81384116,20.34603,3.4103978,0.0,0.20344153,0.4,0.3,0.1,0.2,0.0,1.4810435,0.0
0.6190845966339111,0,0.12644042,0.37932125,0.18685481,4.260126,0.5593779,5.034401,2.1664515,0.271,0.33634177,0.6666667,0.0,0.0,0.33333334,0.0,1.6098452,0.0
0.5654542446136475,0,0.10258711,0.7181098,0.3642982,4.4061227,0.58475965,28.653223,2.4601943,0.274,0.08599403,0.1904762,0.2857143,0.14285715,0.14285715,0.23809524,1.6218659,0.0
0.7165939807891846,0,0.11178768,0.5589384,0.19150895,5.170794,0.7119243,17.798107,2.7510393,0.0,0.18185052,0.5,0.2,0.0,0.2,0.1,1.617568,0.0
0.6123096942901611,0,0.2148663,1.2891978,0.33778986,5.4484396,0.7525264,27.09095,3.0739071,0.0,0.13495052,0.33333334,0.2,0.06666667,0.13333334,0.26666668,1.3995818,0.0
0.6926476955413818,0,0.1700825,0.51024747,0.21687858,4.5521774,0.5125802,4.613222,2.0897326,0.274,0.18135399,0.0,0.33333334,0.33333334,0.0,0.33333334,1.4766079,0.0
0.6091635227203369,0,0.16187371,0.48562115,0.22155233,5.375333,0.45702007,4.1131806,1.8669983,0.369,0.09745523,0.0,0.0,0.0,0.6666667,0.33333334,1.4755819,0.0
0.5798604488372803,0,0.13559014,0.6779507,0.358845,5.9521475,0.8241512,20.60378,3.2073007,0.0,0.19458859,0.4,0.2,0.0,0.2,0.2,-2.946623,1.0
0.5331990718841553,0,0.12686656,0.3805997,0.321125,5.5544777,0.6634403,5.9709625,2.9494064,0.266,0.3478485,0.33333334,0.33333334,0.0,0.0,0.33333334,1.5928558,0.0
0.5908362865447998,0,0.28034535,1.9624175,0.59582096,6.3918366,0.847462,41.52564,3.5985868,0.0,0.1151009,0.33333334,0.04761905,0.04761905,0.23809524,0.33333334,1.2622554,0.0
0.4877440929412842,0,0.28578824,2.0005176,0.6219605,4.8840957,0.8274917,40.547092,2.912643,0.0,0.10807894,0.23809524,0.0952381,0.14285715,0.33333334,0.1904762,1.277933,0.0
0.481518030166626,0,0.055868506,0.33521104,0.1304158,6.89557,0.4956097,17.84195,2.8971334,0.312,0.077786654,0.2,0.06666667,0.0,0.26666668,0.46666667,1.6747887,0.0
0.5351920127868652,0,0.15348402,1.0743881,0.3557019,4.9254327,0.7279861,35.671318,2.6010222,0.0,0.06475199,0.04761905,0.14285715,0.04761905,0.14285715,0.61904764,1.5216393,0.0
0.7041440010070801,0,0.112374276,0.67424566,0.39422134,5.021275,0.6317399,22.742638,2.6015468,0.0,0.09079805,0.26666668,0.06666667,0.13333334,0.13333334,0.4,1.6010566,0.0
