"Time,Operation,Status,Latitude,Longitude,Altitude,Heading,Speed,Intent deviation,Intent altitude,Intent speed,Deconfliction Level"
"1726150073.9375389,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150078.3705916,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150083.5274024,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150088.7170787,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150093.586539,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150093.586539,UAE41   -rodolphe02,None,51.4652,-0.3358,1418.4778325123152,269.64,158.00933125972008,0,1418.4778325123152,158.00933125972008,None"
"1726150098.4274797,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150098.4274797,UAE41   -rodolphe02,None,51.4652,-0.3417,1318.3793103448277,269.64,158.00933125972008,0,1418.4778325123152,158.00933125972008,None"
"1726150103.8875873,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150103.8875873,UAE41   -rodolphe02,None,51.46517686815913,-0.34757194109611006,1243.6666666666667,269.64,158.00933125972008,0,1418.4778325123152,158.00933125972008,None"
"1726150108.6790829,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150108.6790829,UAE41   -rodolphe02,None,51.4652,-0.3521,1193.256157635468,269.64,158.00933125972008,0,1418.4778325123152,158.00933125972008,None"
"1726150113.5870073,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150113.5870073,UAE41   -rodolphe02,None,51.46517686815913,-0.3579719410961101,1118.5435139573071,269.64,158.00933125972008,0,1418.4778325123152,158.00933125972008,None"
"1726150118.7455797,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150118.7455797,UAE41   -rodolphe02,None,51.4651,-0.3649,1043.1083743842364,269.64,160.0116640746501,0,1418.4778325123152,158.00933125972008,None"
"1726150118.7455797,BAW28K  -rodolphe02,None,51.477,-0.5115,1493.551724137931,269.4,192.02954898911355,0,1493.551724137931,192.02954898911355,None"
"1726150123.8636408,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150123.8636408,BAW28K  -rodolphe02,None,51.477,-0.5184,1693.7487684729062,270.3,193.02099533437018,0,1493.551724137931,192.02954898911355,None"
"1726150123.8636408,UAE41   -rodolphe02,None,51.4651,-0.3711,968.0344827586207,269.64,160.0116640746501,0,1418.4778325123152,158.00933125972008,None"
"1726150128.8210025,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150128.8210025,UAE41   -rodolphe02,None,51.46507657314578,-0.37704633866359905,893.3218390804598,269.64,160.0116640746501,0,1418.4778325123152,158.00933125972008,None"
