time,vehicle_id,real,origin,destination,position,flight_phase,velocity
0.8002543449401855,1001,False,1,5,[5.5   1.5   0.345],queued,[-0.48080528  0.59740651 -0.20557775]
0.8002543449401855,1002,False,2,0,[-7.5 -1.   0. ],waiting,[ 0.5677905  -0.59831228 -0.99408226]
0.8002543449401855,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.8002543449401855,1004,False,4,1,[ 8.   -7.5   0.42],queued,[-0.62185191  0.08809385  0.93462812]
0.8002543449401855,1005,False,5,3,[-8.    8.    0.02],queued,[ 0.50568378 -0.03156594 -0.11489306]
0.9071722030639648,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.9071722030639648,1001,False,1,5,[5.5  1.5  0.42],queued,[-0.48080528  0.59740651 -0.20557775]
0.9071722030639648,1002,False,2,0,[-7.5 -1.   0. ],queued,[ 0.5677905  -0.59831228 -0.99408226]
0.9071722030639648,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.9071722030639648,1004,False,4,1,[ 8.    -7.5    0.495],queued,[-0.62185191  0.08809385  0.93462812]
0.9071722030639648,1005,False,5,3,[-8.    8.    0.06],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.0099620819091797,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
1.0099620819091797,1001,False,1,5,[5.5   1.5   0.495],queued,[-0.48080528  0.59740651 -0.20557775]
1.0099620819091797,1002,False,2,0,[-7.5  -1.    0.02],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.0099620819091797,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
1.0099620819091797,1004,False,4,1,[ 8.   -7.5   0.57],queued,[-0.62185191  0.08809385  0.93462812]
1.0099620819091797,1005,False,5,3,[-8.    8.    0.12],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.1144123077392578,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
1.1144123077392578,1001,False,1,5,[5.5  1.5  0.57],queued,[-0.48080528  0.59740651 -0.20557775]
1.1144123077392578,1002,False,2,0,[-7.5  -1.    0.06],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.1144123077392578,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
1.1144123077392578,1004,False,4,1,[ 8.    -7.5    0.645],queued,[-0.62185191  0.08809385  0.93462812]
1.1144123077392578,1005,False,5,3,[-8.     8.     0.195],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.2059099674224854,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
1.2059099674224854,1001,False,1,5,[5.5   1.5   0.645],queued,[-0.48080528  0.59740651 -0.20557775]
1.2059099674224854,1002,False,2,0,[-7.5  -1.    0.12],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.2059099674224854,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
1.2059099674224854,1004,False,4,1,[ 8.   -7.5   0.72],queued,[-0.62185191  0.08809385  0.93462812]
1.2059099674224854,1005,False,5,3,[-8.    8.    0.27],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.3125708103179932,1000,False,0,2,[3.  8.5 0. ],queued,[-0.82138112 -0.19970136 -0.21083176]
1.3125708103179932,1001,False,1,5,[5.5  1.5  0.72],queued,[-0.48080528  0.59740651 -0.20557775]
1.3125708103179932,1002,False,2,0,[-7.5   -1.     0.195],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.3125708103179932,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
1.3125708103179932,1004,False,4,1,[ 8.    -7.5    0.795],queued,[-0.62185191  0.08809385  0.93462812]
1.3125708103179932,1005,False,5,3,[-8.     8.     0.345],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.4115757942199707,1000,False,0,2,[3.   8.5  0.02],queued,[-0.82138112 -0.19970136 -0.21083176]
1.4115757942199707,1001,False,1,5,[5.5   1.5   0.795],queued,[-0.48080528  0.59740651 -0.20557775]
1.4115757942199707,1002,False,2,0,[-7.5  -1.    0.27],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.4115757942199707,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
1.4115757942199707,1004,False,4,1,[ 8.   -7.5   0.87],queued,[-0.62185191  0.08809385  0.93462812]
1.4115757942199707,1005,False,5,3,[-8.    8.    0.42],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.5016651153564453,1000,False,0,2,[3.   8.5  0.06],queued,[-0.82138112 -0.19970136 -0.21083176]
1.5016651153564453,1001,False,1,5,[5.5  1.5  0.87],queued,[-0.48080528  0.59740651 -0.20557775]
1.5016651153564453,1002,False,2,0,[-7.5   -1.     0.345],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.5016651153564453,1003,False,3,4,[-1. -8.  0.],queued,[ 0.63925976  0.24903542 -0.34837281]
1.5016651153564453,1004,False,4,1,[ 8.    -7.5    0.945],queued,[-0.62185191  0.08809385  0.93462812]
1.5016651153564453,1005,False,5,3,[-8.     8.     0.495],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.6010761260986328,1000,False,0,2,[3.   8.5  0.12],queued,[-0.82138112 -0.19970136 -0.21083176]
1.6010761260986328,1001,False,1,5,[5.5   1.5   0.945],queued,[-0.48080528  0.59740651 -0.20557775]
1.6010761260986328,1002,False,2,0,[-7.5  -1.    0.42],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.6010761260986328,1003,False,3,4,[-1.   -8.    0.02],queued,[ 0.63925976  0.24903542 -0.34837281]
1.6010761260986328,1004,False,4,1,[ 8.   -7.5   1.02],queued,[-0.62185191  0.08809385  0.93462812]
1.6010761260986328,1005,False,5,3,[-8.    8.    0.57],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.7084262371063232,1000,False,0,2,[3.    8.5   0.195],queued,[-0.82138112 -0.19970136 -0.21083176]
1.7084262371063232,1001,False,1,5,[5.5  1.5  1.02],queued,[-0.48080528  0.59740651 -0.20557775]
1.7084262371063232,1002,False,2,0,[-7.5   -1.     0.495],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.7084262371063232,1003,False,3,4,[-1.   -8.    0.06],queued,[ 0.63925976  0.24903542 -0.34837281]
1.7084262371063232,1004,False,4,1,[ 8.    -7.5    1.095],queued,[-0.62185191  0.08809385  0.93462812]
1.7084262371063232,1005,False,5,3,[-8.     8.     0.645],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.8090472221374512,1000,False,0,2,[3.   8.5  0.27],queued,[-0.82138112 -0.19970136 -0.21083176]
1.8090472221374512,1001,False,1,5,[5.5   1.5   1.095],queued,[-0.48080528  0.59740651 -0.20557775]
1.8090472221374512,1002,False,2,0,[-7.5  -1.    0.57],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.8090472221374512,1003,False,3,4,[-1.   -8.    0.12],queued,[ 0.63925976  0.24903542 -0.34837281]
1.8090472221374512,1004,False,4,1,[ 8.   -7.5   1.17],queued,[-0.62185191  0.08809385  0.93462812]
1.8090472221374512,1005,False,5,3,[-8.    8.    0.72],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.91270112991333,1000,False,0,2,[3.    8.5   0.345],queued,[-0.82138112 -0.19970136 -0.21083176]
1.91270112991333,1001,False,1,5,[5.5  1.5  1.17],queued,[-0.48080528  0.59740651 -0.20557775]
1.91270112991333,1002,False,2,0,[-7.5   -1.     0.645],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.91270112991333,1003,False,3,4,[-1.    -8.     0.195],queued,[ 0.63925976  0.24903542 -0.34837281]
1.91270112991333,1004,False,4,1,[ 8.    -7.5    1.245],queued,[-0.62185191  0.08809385  0.93462812]
1.91270112991333,1005,False,5,3,[-8.     8.     0.795],queued,[ 0.50568378 -0.03156594 -0.11489306]
2.0085179805755615,1000,False,0,2,[3.   8.5  0.42],queued,[-0.82138112 -0.19970136 -0.21083176]
2.0085179805755615,1001,False,1,5,[5.5   1.5   1.245],queued,[-0.48080528  0.59740651 -0.20557775]
2.0085179805755615,1002,False,2,0,[-7.5  -1.    0.72],queued,[ 0.5677905  -0.59831228 -0.99408226]
2.0085179805755615,1003,False,3,4,[-1.   -8.    0.27],queued,[ 0.63925976  0.24903542 -0.34837281]
2.0085179805755615,1004,False,4,1,[ 8.   -7.5   1.32],queued,[-0.62185191  0.08809385  0.93462812]
2.0085179805755615,1005,False,5,3,[-8.    8.    0.87],queued,[ 0.50568378 -0.03156594 -0.11489306]
2.1107566356658936,1000,False,0,2,[3.    8.5   0.495],queued,[-0.82138112 -0.19970136 -0.21083176]
2.1107566356658936,1001,False,1,5,[5.5  1.5  1.32],queued,[-0.48080528  0.59740651 -0.20557775]
2.1107566356658936,1002,False,2,0,[-7.5   -1.     0.795],queued,[ 0.5677905  -0.59831228 -0.99408226]
2.1107566356658936,1003,False,3,4,[-1.    -8.     0.345],queued,[ 0.63925976  0.24903542 -0.34837281]
2.1107566356658936,1004,False,4,1,[ 8.    -7.5    1.395],queued,[-0.62185191  0.08809385  0.93462812]
2.1107566356658936,1005,False,5,3,[-8.     8.     0.945],queued,[ 0.50568378 -0.03156594 -0.11489306]
2.2199831008911133,1000,False,0,2,[3.   8.5  0.57],queued,[-0.82138112 -0.19970136 -0.21083176]
2.2199831008911133,1001,False,1,5,[5.5   1.5   1.395],queued,[-0.48080528  0.59740651 -0.20557775]
2.2199831008911133,1002,False,2,0,[-7.5  -1.    0.87],queued,[ 0.5677905  -0.59831228 -0.99408226]
2.2199831008911133,1003,False,3,4,[-1.   -8.    0.42],queued,[ 0.63925976  0.24903542 -0.34837281]
2.2199831008911133,1004,False,4,1,[ 8.   -7.5   1.47],queued,[-0.62185191  0.08809385  0.93462812]
2.2199831008911133,1005,False,5,3,[-8.    8.    1.02],queued,[ 0.50568378 -0.03156594 -0.11489306]
2.321906566619873,1000,False,0,2,[3.    8.5   0.645],queued,[-0.82138112 -0.19970136 -0.21083176]
2.321906566619873,1001,False,1,5,[5.5  1.5  1.47],queued,[-0.48080528  0.59740651 -0.20557775]
2.321906566619873,1002,False,2,0,[-7.5   -1.     0.945],queued,[ 0.5677905  -0.59831228 -0.99408226]
2.321906566619873,1003,False,3,4,[-1.    -8.     0.495],queued,[ 0.63925976  0.24903542 -0.34837281]
2.321906566619873,1004,False,4,1,[ 8.    -7.5    1.545],queued,[-0.62185191  0.08809385  0.93462812]
2.321906566619873,1005,False,5,3,[-8.     8.     1.095],queued,[ 0.50568378 -0.03156594 -0.11489306]
2.419135332107544,1000,False,0,2,[3.   8.5  0.72],queued,[-0.82138112 -0.19970136 -0.21083176]
2.419135332107544,1001,False,1,5,[5.5   1.5   1.545],queued,[-0.48080528  0.59740651 -0.20557775]
2.419135332107544,1002,False,2,0,[-7.5  -1.    1.02],queued,[ 0.5677905  -0.59831228 -0.99408226]
2.419135332107544,1003,False,3,4,[-1.   -8.    0.57],queued,[ 0.63925976  0.24903542 -0.34837281]
2.419135332107544,1004,False,4,1,[ 8.   -7.5   1.62],queued,[-0.62185191  0.08809385  0.93462812]
2.419135332107544,1005,False,5,3,[-8.    8.    1.17],queued,[ 0.50568378 -0.03156594 -0.11489306]
2.517003297805786,1000,False,0,2,[3.    8.5   0.795],queued,[-0.82138112 -0.19970136 -0.21083176]
2.517003297805786,1001,False,1,5,[5.5  1.5  1.62],queued,[-0.48080528  0.59740651 -0.20557775]
2.517003297805786,1002,False,2,0,[-7.5   -1.     1.095],queued,[ 0.5677905  -0.59831228 -0.99408226]
2.517003297805786,1003,False,3,4,[-1.    -8.     0.645],queued,[ 0.63925976  0.24903542 -0.34837281]
2.517003297805786,1004,False,4,1,[ 8.    -7.5    1.695],queued,[-0.62185191  0.08809385  0.93462812]
2.517003297805786,1005,False,5,3,[-8.     8.     1.245],queued,[ 0.50568378 -0.03156594 -0.11489306]
2.624276876449585,1000,False,0,2,[3.   8.5  0.87],queued,[-0.82138112 -0.19970136 -0.21083176]
2.624276876449585,1001,False,1,5,[5.5   1.5   1.695],queued,[-0.48080528  0.59740651 -0.20557775]
2.624276876449585,1002,False,2,0,[-7.5  -1.    1.17],queued,[ 0.5677905  -0.59831228 -0.99408226]
2.624276876449585,1003,False,3,4,[-1.   -8.    0.72],queued,[ 0.63925976  0.24903542 -0.34837281]
2.624276876449585,1004,False,4,1,[ 8.   -7.5   1.77],queued,[-0.62185191  0.08809385  0.93462812]
2.624276876449585,1005,False,5,3,[-8.    8.    1.32],queued,[ 0.50568378 -0.03156594 -0.11489306]
2.7224936485290527,1000,False,0,2,[3.    8.5   0.945],queued,[-0.82138112 -0.19970136 -0.21083176]
2.7224936485290527,1001,False,1,5,[5.5  1.5  1.77],queued,[-0.48080528  0.59740651 -0.20557775]
2.7224936485290527,1002,False,2,0,[-7.5   -1.     1.245],queued,[ 0.5677905  -0.59831228 -0.99408226]
2.7224936485290527,1003,False,3,4,[-1.    -8.     0.795],queued,[ 0.63925976  0.24903542 -0.34837281]
2.7224936485290527,1004,False,4,1,[ 8.    -7.5    1.845],queued,[-0.62185191  0.08809385  0.93462812]
2.7224936485290527,1005,False,5,3,[-8.     8.     1.395],queued,[ 0.50568378 -0.03156594 -0.11489306]
2.824063777923584,1000,False,0,2,[3.   8.5  1.02],queued,[-0.82138112 -0.19970136 -0.21083176]
2.824063777923584,1001,False,1,5,[5.5   1.5   1.845],queued,[-0.48080528  0.59740651 -0.20557775]
2.824063777923584,1002,False,2,0,[-7.5  -1.    1.32],queued,[ 0.5677905  -0.59831228 -0.99408226]
2.824063777923584,1003,False,3,4,[-1.   -8.    0.87],queued,[ 0.63925976  0.24903542 -0.34837281]
2.824063777923584,1004,False,4,1,[ 8.   -7.5   1.92],queued,[-0.62185191  0.08809385  0.93462812]
2.824063777923584,1005,False,5,3,[-8.    8.    1.47],queued,[ 0.50568378 -0.03156594 -0.11489306]
2.9173765182495117,1000,False,0,2,[3.    8.5   1.095],queued,[-0.82138112 -0.19970136 -0.21083176]
2.9173765182495117,1001,False,1,5,[5.5  1.5  1.92],queued,[-0.48080528  0.59740651 -0.20557775]
2.9173765182495117,1002,False,2,0,[-7.5   -1.     1.395],queued,[ 0.5677905  -0.59831228 -0.99408226]
2.9173765182495117,1003,False,3,4,[-1.    -8.     0.945],queued,[ 0.63925976  0.24903542 -0.34837281]
2.9173765182495117,1004,False,4,1,[ 8.    -7.5    1.995],queued,[-0.62185191  0.08809385  0.93462812]
2.9173765182495117,1005,False,5,3,[-8.     8.     1.545],queued,[ 0.50568378 -0.03156594 -0.11489306]
3.0130579471588135,1000,False,0,2,[3.   8.5  1.17],queued,[-0.82138112 -0.19970136 -0.21083176]
3.0130579471588135,1001,False,1,5,[5.5   1.5   1.995],queued,[-0.48080528  0.59740651 -0.20557775]
