duration,vertiports,vertiports intersections,obstacles,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,self-intersections
0.008640289306640625,6,12,5,0,0.0,0.0,0.0,5.022836,0.61130595,22.007015,2.499673,0.0,0.05936867,0.0
0.0,3,0,7,0,0.0,0.0,0.0,1.6008517,0.1781025,1.6029224,0.74220186,0.0,0.007351915,0.0
0.002999544143676758,7,23,3,0,0.0,0.0,0.0,6.0975223,0.71555895,35.06239,2.974499,0.0,0.07954782,0.0
0.0015072822570800781,4,1,3,1,0.0,0.0,0.0,2.1463602,0.23295702,3.7273123,0.99586034,0.0,0.012987593,1.0
0.0029952526092529297,4,1,6,0,0.0,0.0,0.0,3.8284254,0.44381726,7.101076,1.6404419,0.0,0.038435135,0.0
0.0,3,0,4,0,0.0,0.0,0.0,2.5209365,0.28034908,2.5231416,1.2069436,0.0,0.008521159,0.0
0.004505157470703125,7,21,3,0,0.0,0.0,0.0,7.0479746,0.84651923,41.479443,3.4883192,0.0,0.09939098,1.0
0.005000114440917969,5,3,4,0,0.0,0.0,0.0,5.394386,0.62095773,15.523944,2.4951632,0.0,0.054352175,0.0
0.004098653793334961,4,1,6,0,0.0,0.0,0.0,5.0455194,0.5915273,9.464437,2.4512105,0.0,0.055994093,0.0
0.0,7,29,4,0,0.0,0.0,0.0,6.3402944,0.76835024,37.649162,3.0970569,0.0,0.08746729,1.0
0.0,6,8,2,0,0.0,0.0,0.0,5.1407385,0.52061874,18.742275,2.573246,0.0,0.045150895,0.0
0.0,3,0,7,0,0.0,0.0,0.0,4.067617,0.45282936,4.0754642,1.5256329,0.0,0.021011101,0.0
0.0,5,3,1,0,0.0,0.0,0.0,3.731906,0.4260022,10.650055,1.7725981,0.0,0.038404357,0.0
0.0,5,1,4,0,0.0,0.0,0.0,3.5149674,0.35800648,8.950162,1.5149066,0.0,0.026936661,0.0
0.016002416610717773,7,19,7,0,0.0,0.0,0.0,7.0209517,0.8560036,41.944176,3.4640346,0.0,0.12066998,0.0
0.0,4,0,7,0,0.0,0.0,0.0,4.359191,0.46497673,7.4396276,1.7909737,0.0,0.0519448,0.0
0.0,4,1,2,0,0.0,0.0,0.0,4.366784,0.52137905,8.342065,2.0077336,0.0,0.05465519,1.0
0.0,6,12,4,0,0.0,0.0,0.0,5.196849,0.554141,19.949076,2.4855895,0.0,0.050129365,0.0
0.0,4,0,2,0,0.0,0.0,0.0,5.470107,0.60810816,9.729731,2.444872,0.0,0.056718405,0.0
0.0,4,1,5,0,0.0,0.0,0.0,5.676573,0.62532866,10.005259,2.2840166,0.0,0.042594396,0.0
0.001997709274291992,5,3,4,0,0.0,0.0,0.0,4.348824,0.47559452,11.889863,1.9224429,0.0,0.03196708,1.0
0.001999378204345703,6,15,5,0,0.0,0.0,0.0,4.196866,0.50270593,18.097414,2.0367389,0.0,0.038627405,0.0
0.0009992122650146484,4,1,4,0,0.0,0.0,0.0,2.5027063,0.27451295,4.392207,1.0553211,0.0,0.019197695,0.0
0.0020012855529785156,5,1,7,0,0.0,0.0,0.0,3.460926,0.32796395,8.199099,1.4254881,0.0,0.02212905,1.0
0.0029981136322021484,3,0,3,0,0.0,0.0,0.0,3.7432218,0.41660774,3.7494698,1.5744872,0.0,0.018227113,0.0
0.0,5,3,4,0,0.0,0.0,0.0,4.2200437,0.50689536,12.672384,1.8356316,0.0,0.07199871,0.0
0.006036996841430664,3,0,1,0,0.0,0.0,0.0,4.4101305,0.4904903,4.4144125,1.8587437,0.0,0.024077304,0.0
0.0040018558502197266,4,0,6,0,0.0,0.0,0.0,4.4828725,0.5283256,8.45321,2.170653,0.0,0.078192964,1.0
0.0020008087158203125,5,5,4,0,0.0,0.0,0.0,4.7352057,0.50993514,12.748378,2.2593737,0.0,0.03526759,0.0
0.0019958019256591797,5,3,6,0,0.0,0.0,0.0,5.487959,0.60900295,15.225074,2.6907918,0.0,0.053958517,0.0
0.0010004043579101562,3,0,7,0,0.0,0.0,0.0,4.0733347,0.4534688,4.081219,1.4384665,0.0,0.020940928,0.0
