duration;vertiports;vertiport intersections;obstacles;obstacle violation;Avg_trans;cum_trans;max_trans;corridor length;avg op lenght;cum op length;max op length;unexpl region;avg SF;SELF-int
0.009521484375;5;3;1;0;0.0;0.0;0.0;4.4542875;0.49716142;12.429035;2.0500002;0.0;0.039893437;0.0
0.0030007362365722656;6;8;3;0;0.0;0.0;0.0;4.3785105;0.46915734;16.889664;2.1693463;0.0;0.040333096;0.0
0.005563259124755859;6;9;3;0;0.0;0.0;0.0;4.893606;0.6006563;21.623627;2.4417205;0.0;0.06267196;1.0
0.005033731460571289;7;17;7;1;0.0;0.0;0.0;4.8551745;0.58546543;28.687807;2.3405833;0.0;0.066096306;1.0
0.0019991397857666016;4;1;3;0;0.0;0.0;0.0;2.412693;0.25290462;4.046474;1.0718447;0.0;0.02192454;1.0
0.0019996166229248047;3;0;1;0;0.0;0.0;0.0;1.1530824;0.12821035;1.1538931;0.52689546;0.0;0.009378905;0.0
0.0010018348693847656;5;5;6;0;0.0;0.0;0.0;4.130472;0.48593536;12.148384;1.9295666;0.0;0.039488643;1.0
0.0009989738464355469;3;0;2;0;0.0;0.0;0.0;2.1008627;0.23377858;2.1040072;0.7485515;0.0;0.010742422;0.0
0.015555381774902344;7;29;4;0;0.0;0.0;0.0;4.0704317;0.48562065;23.795412;2.0104442;0.0;0.052947707;0.0
0.0019989013671875;5;3;7;0;0.0;0.0;0.0;3.7997968;0.4514875;11.287188;1.8318582;0.0;0.051632166;0.0
0.0029997825622558594;6;9;1;0;0.0;0.0;0.0;4.95425;0.5833526;21.000694;2.3807333;0.0;0.067281015;0.0
0.000993490219116211;3;0;1;0;0.0;0.0;0.0;3.0982325;0.3446803;3.1021228;1.3907931;0.0;0.013454073;0.0
0.002115488052368164;3;0;2;0;0.0;0.0;0.0;3.3099744;0.3681791;3.313612;1.6159434;0.0;0.008614249;0.0
0.0025064945220947266;5;3;4;0;0.0;0.0;0.0;4.385936;0.52665323;13.166331;2.1820939;0.0;0.045839585;0.0
0.0020008087158203125;3;0;4;1;0.0;0.0;0.0;2.9822814;0.33152226;2.9837003;1.3888928;0.0;0.015930466;0.0
0.004121065139770508;7;19;6;0;0.0;0.0;0.0;6.06045;0.72035193;35.297245;2.938833;0.0;0.072730854;0.0
0.008242130279541016;7;25;1;0;0.0;0.0;0.0;6.7259707;0.7928693;38.850597;3.3324175;0.0;0.09653818;1.0
0.0030014514923095703;6;8;3;0;0.0;0.0;0.0;3.8488235;0.34413618;12.388903;1.7168837;0.0;0.017197235;0.0
0.007772922515869141;7;29;2;0;0.0;0.0;0.0;6.780649;0.7979258;39.098362;3.201768;0.0;0.08806521;1.0
0.003998756408691406;6;9;6;1;0.0;0.0;0.0;5.4880934;0.63294905;22.786165;2.6518483;0.0;0.09128172;1.0
0.002018451690673828;3;0;4;0;0.0;0.0;0.0;2.607693;0.28983712;2.608534;1.1905107;0.0;0.01618189;0.0
0.0020003318786621094;3;0;6;1;0.0;0.0;0.0;2.941079;0.32712406;2.9441166;1.3531084;0.0;0.012282822;0.0
0.0009980201721191406;3;0;1;0;0.0;0.0;0.0;2.7278984;0.30377033;2.733933;1.1751671;0.0;0.01938627;0.0
0.0019996166229248047;5;3;1;0;0.0;0.0;0.0;4.154032;0.4544071;11.360177;1.8534329;0.0;0.03983541;0.0
0.0009980201721191406;4;0;5;0;0.0;0.0;0.0;5.6515975;0.63625515;10.180082;2.4216876;0.0;0.0930252;1.0
0.0009958744049072266;5;3;2;0;0.0;0.0;0.0;4.147966;0.39235196;9.808799;1.930026;0.0;0.021128936;1.0
0.0;7;31;1;0;0.0;0.0;0.0;4.9867477;0.5538547;27.138882;2.387155;0.0;0.042853564;0.0
0.003519773483276367;5;5;3;0;0.0;0.0;0.0;3.917598;0.38087952;9.521988;1.7196822;0.0;0.029070903;1.0
0.002005338668823242;4;1;2;0;0.0;0.0;0.0;4.8604174;0.5689951;9.103922;2.2825632;0.0;0.0932588;1.0
0.005517244338989258;6;10;4;0;0.0;0.0;0.0;5.8194456;0.6614541;23.812347;2.890318;0.0;0.06930007;0.0
0.006012439727783203;7;29;3;0;0.0;0.0;0.0;5.3010416;0.6418224;31.449299;2.5982804;0.0;0.06502278;1.0
0.0010008811950683594;3;0;2;0;0.0;0.0;0.0;1.7781124;0.19744082;1.7769674;0.7988398;0.0;0.017520374;0.0
0.004513263702392578;7;25;1;0;0.0;0.0;0.0;3.5591626;0.43661103;21.39394;1.713762;0.0;0.03786636;0.0
0.006993532180786133;3;0;7;0;0.0;0.0;0.0;1.8627458;0.20704931;1.8634439;0.78069246;0.0;0.011398577;0.0
0.006362199783325195;7;27;5;0;0.0;0.0;0.0;5.358177;0.64197844;31.456944;2.6543434;0.0;0.09864577;1.0
0.0;3;0;7;0;0.0;0.0;0.0;2.5531929;0.2837966;2.5541694;1.2352194;0.0;0.009471939;0.0
