duration,n_vertiports,n_obstacles,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
280.5548,6.0,6.0,0.16666667,0.40871635,2.4522982,0.95995253,7.1749043,1.1521763,41.478344,4.6824427,0.0,0.2542385,0.53333336,0.0,0.06666667,0.2,0.13333334,1.3682332,23.563122,-5.7744675,4.619533,-14.994,4.5,-8.165151e-08,0.1
290.96683,7.0,4.0,0.0,0.3705135,2.5935946,0.7955631,5.3378673,0.60884064,29.833193,2.1934035,0.314,0.029701857,0.1904762,0.04761905,0.04761905,0.0,0.33333334,0.32710457,6.5280437,0.50671387,7.906714,-12.0,4.5,-2.292191e-09,0.1
268.59055,3.0,3.0,0.0,0.32917044,0.9875113,0.89703006,4.5299306,0.50095105,4.508559,2.1484032,0.27,0.08683434,0.0,0.0,0.0,0.0,1.0,0.70408034,18.403244,-8.9,0.0,-9.0,0.0,-2.6817388e-09,0.1
277.74625,5.0,3.0,0.0,0.45278534,2.2639267,0.6310145,6.422609,0.8220294,20.550735,3.3469682,0.288,0.22145987,0.6,0.3,0.1,0.0,0.0,2.2604718,54.31037,-1.4948999,2.9051,-9.0,4.5,-6.4612166e-08,0.1
274.35596,5.0,7.0,0.2857143,0.48336887,2.4168444,0.94522274,6.017196,0.60387045,15.096762,2.2999299,0.277,0.040011503,0.1,0.1,0.0,0.2,0.3,0.48416948,8.750534,-13.203701,0.1843,-17.988,4.5,-4.943835e-09,0.1
287.9996,7.0,5.0,0.0,0.37989447,2.6592612,0.7423269,5.706585,0.75709736,37.09777,2.951136,0.262,0.11918441,0.3809524,0.04761905,0.0952381,0.1904762,0.23809524,-0.07280159,-1.2596786,-9.796524,0.6034762,-15.0,4.5,-2.5542533e-08,0.1
258.22318,4.0,6.0,1.0,0.12320009,0.49280035,0.23957726,6.8139424,0.57606226,9.216996,2.8368487,0.281,0.18042426,0.33333334,0.16666667,0.0,0.0,0.33333334,3.5270338,107.305504,-9.809834,0.5541667,-14.964,4.5,-1.9876036e-07,0.1
258.43512,3.0,7.0,0.0,0.21337132,0.64011395,0.28307742,4.2424693,0.3285672,2.957105,1.3235652,0.326,-0.04025582,0.0,0.0,0.0,0.0,0.0,0.73712206,21.028507,-20.9,0.0,-21.0,0.0,-1.1044668e-08,0.1
268.33966,3.0,3.0,0.0,0.2134357,0.64030707,0.5061743,3.8660455,0.25534162,2.2980745,1.0299013,0.312,-0.073364295,0.0,0.0,0.33333334,0.0,0.0,0.7817886,25.34771,-8.874666,0.025333334,-9.0,0.0,-2.8147236e-08,0.1
274.86804,4.0,3.0,0.0,0.3233298,1.2933192,0.46204212,5.228993,0.43125674,6.900108,1.728586,0.261,-0.035782948,0.16666667,0.0,0.0,0.0,0.0,0.04326105,0.8342266,-4.1466665,0.25333333,-9.0,4.5,-1.4524841e-08,0.1
311.6737,7.0,4.0,0.0,0.3092429,2.1647003,0.603815,5.9499483,0.94126815,46.12214,3.4158158,0.0,0.11999563,0.3809524,0.14285715,0.0,0.0952381,0.3809524,-1.0999026,-15.601784,-9.378428,2.5215716,-12.0,0.0,-2.4676567e-09,0.1
263.22223,3.0,1.0,0.0,0.38647762,1.1594329,0.67256725,4.8448706,0.47185516,4.2466965,2.0079606,0.289,0.052876156,0.0,0.0,0.0,0.0,1.0,0.9597635,24.703657,1.5999999,0.0,-3.0,4.5,-2.2147281e-08,0.1
289.88675,6.0,2.0,0.0,0.47927555,2.8756533,0.8604758,3.7240646,0.7509411,27.03388,2.825694,0.0,0.095077775,0.13333334,0.2,0.0,0.13333334,0.26666668,-1.9940884,-34.872944,-3.7378001,2.1622,-6.0,0.0,-3.2071026e-09,0.1
278.20596,5.0,6.0,0.0,0.42030105,2.1015053,0.5314073,4.8531456,0.7928306,19.820765,3.2409306,0.0,0.17290966,0.3,0.1,0.1,0.2,0.3,-0.5438318,-10.0766,-11.0041,2.3959,-18.0,4.5,-2.3172921e-08,0.1
