duration,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,reward,self-intersections
2.7930243,0.0,0.77414757,2.3224428,0.9518631,0.049899995,0.5160984,4.6448855,1.7028885,0.471,0.34534785,1.0,0.0,0.0,0.0,0.0,9.18,1.0
10.068619,0.0,0.44877067,3.1413946,1.26676,0.8969268,0.40901297,20.041636,2.1351452,0.0,-0.022634165,0.04761905,0.04761905,0.0,0.0,0.1904762,-5.185952,1.0
2.3760214,0.0,0.084538646,0.33815458,0.19858822,1.990065,0.28677085,4.5883336,0.99712515,0.0,0.04886347,0.33333334,0.16666667,0.0,0.16666667,0.0,-1.8573332,1.0
12.961773,0.0,0.18770872,0.7508349,0.39970523,4.75977,0.6526781,10.442849,2.7396464,0.0,0.17767571,0.5,0.0,0.0,0.0,0.16666667,8.84,1.0
5.1096888,0.0,0.4917706,1.4753118,0.97311664,4.158554,0.46602398,4.194216,2.006488,0.379,0.19419609,0.33333334,0.0,0.0,0.33333334,0.33333334,3.0870004,1.0
3.3008623,0.0,0.30450487,2.131534,0.83303416,2.3586414,0.5020169,24.59883,1.8288934,0.0,-0.015443097,0.0952381,0.0,0.04761905,0.0,0.1904762,-7.148381,1.0
6.0721703,0.0,0.4741457,2.3707285,0.6049681,1.4188337,0.5059896,12.64974,1.7092292,0.0,-0.0031318753,0.1,0.1,0.0,0.0,0.2,-2.2804995,1.0
5.541471,0.0,0.42043883,1.6817553,0.60661906,2.2892,0.5963579,9.541726,2.0787468,0.0,0.059214495,0.0,0.0,0.16666667,0.16666667,0.33333334,7.684166,1.0
6.3163595,0.0,0.3060884,2.1426187,0.71225274,1.8266814,0.46060732,22.56976,2.0134606,0.0,-0.015113682,0.04761905,0.04761905,0.0952381,0.0952381,0.1904762,-4.0950003,1.0
7.673701,0.0,0.61957985,3.7174792,0.88958126,2.4076228,0.7447308,26.810308,2.8614488,0.0,0.1347957,0.46666667,0.13333334,0.06666667,0.0,0.0,-6.9524,1.0
4.9129376,0.0,0.5164462,1.5493385,1.0434902,5.8512897,0.62793833,5.651445,2.0872784,0.373,0.19612007,0.0,0.33333334,0.33333334,0.0,0.33333334,12.479668,1.0
10.7174015,0.0,0.17080235,0.8540118,0.28222418,3.2044659,0.23463209,5.8658023,0.9795237,0.276,-0.057280682,0.0,0.0,0.0,0.1,0.2,0.99810004,0.0
10.185671,0.0,0.34822977,1.7411488,0.5744208,4.70026,0.41063976,10.265994,1.2304814,0.403,0.053253304,0.2,0.2,0.0,0.1,0.3,7.7371,0.0
35.4618,0.0,0.3357394,2.3501759,0.93042266,2.227516,0.48342842,23.687992,2.0441604,0.0,-0.003521727,0.04761905,0.04761905,0.0952381,0.0952381,0.14285715,13.205,0.0
2.7668173,0.0,0.17569627,0.7027851,0.38340792,4.5782657,0.24745694,3.959311,1.019911,0.385,-0.093068376,0.0,0.0,0.0,0.0,0.16666667,15.200001,0.0
2.582266,0.0,0.39697516,1.5879006,0.7403501,3.2986293,0.5861631,9.37861,2.3123317,0.0,0.09784456,0.33333334,0.0,0.0,0.16666667,0.33333334,-6.709834,1.0
2.701054,0.0,0.08465472,0.5079283,0.17495835,3.765362,0.2611792,9.4024515,1.2522687,0.355,-0.06705534,0.0,0.0,0.0,0.06666667,0.06666667,-2.1012669,1.0
8.549862,0.0,0.2839512,1.1358048,0.3968114,2.9674144,0.32763466,5.2421546,1.0873299,0.266,-0.1302639,0.0,0.0,0.0,0.0,0.16666667,-4.2999997,1.0
7.9415007,0.0,0.64314085,2.5725634,1.096625,3.8253276,0.6173597,9.877755,2.2744634,0.0,0.0372817,0.0,0.0,0.16666667,0.0,0.6666667,4.687334,1.0
12.553883,0.0,0.53749454,2.6874726,1.2796693,2.6981075,0.5739732,14.34933,2.9990096,0.0,0.081156425,0.2,0.0,0.0,0.1,0.4,3.9940996,0.0
11.534807,0.0,0.169831,1.018986,0.25558576,2.2798932,0.3053726,10.993414,1.2644176,0.263,-0.040305927,0.0,0.0,0.0,0.0,0.13333334,2.8000002,1.0
