Time,Operation,Status,Latitude,Longitude,Altitude,Heading,Speed,Intent deviation,Intent altitude,Intent speed,Deconfliction Level
1726155123,IBE31FB -rodolphe02,None,51.4651,-0.3899,742.8128079,270,130.0155521,0,1218.280788,146.0147745,None
1726155123,UAL941  -rodolphe02,None,51.4855,-0.542,2569.610837,286.7,177.507776,0,968.0344828,171.1508554,None
1726155123,RYR77JV -rodolphe02,None,51.4507,-0.6091,38029.51232,18.43,414.2884914,0,38029.51232,414.2884914,None
1726155128,UAS0-rodolphe02,None,51.4743323,-0.4332366,250,266.81,19,0,250,19,0
1726155128,DLH914  -rodolphe02,None,51.4652,-0.3286,1468.527094,270,152.0217729,0,1793.847291,158.0093313,None
1726155128,IBE31FB -rodolphe02,None,51.4651,-0.3957,667.7389163,269.56,130.0155521,0,1218.280788,146.0147745,None
1726155128,RYR77JV -rodolphe02,None,51.4619,-0.6031,38029.51232,18.39,415.2410575,0,38029.51232,414.2884914,None
1726155128,UAL941  -rodolphe02,None,51.4869,-0.5491,2769.807882,286.73,180.6570762,0,968.0344828,171.1508554,None
1726155128,EVTOL1001-rodolphe02,None,51.47151,-0.47772,158.8215223,81.2109375,21,0,158.8215223,6,0
1726155133,UAS0-rodolphe02,None,51.4743049,-0.4340257,250,266.8,19,0,250,19,0
1726155133,DLH914  -rodolphe02,None,51.4652,-0.3307,1443.502463,270,151.0108865,0,1793.847291,158.0093313,None
1726155133,IBE31FB -rodolphe02,None,51.4651,-0.3975,667.7389163,269.56,130.0155521,0,1218.280788,146.0147745,None
1726155133,RYR77JV -rodolphe02,None,51.4655,-0.6013,38029.51232,18.39,415.2410575,0,38029.51232,414.2884914,None
1726155133,EVTOL1001-rodolphe02,None,51.47135,-0.47692,152.2598425,92.4609375,24,0,158.8215223,6,0
1726155133,UAL941  -rodolphe02,None,51.4874,-0.5519,2869.906404,286.64,181.6290824,0,968.0344828,171.1508554,None
1726155138,UAS0-rodolphe02,None,51.4742826,-0.4346735,250,266.78,19,0,250,19,0
1726155138,DLH914  -rodolphe02,None,51.4653,-0.3369,1368.428571,270.39,146.0147745,0,1793.847291,158.0093313,None
1726155138,IBE31FB -rodolphe02,None,51.4651,-0.4032,592.6650246,270,129.0046656,0,1218.280788,146.0147745,None
1726155138,RYR77JV -rodolphe02,None,51.4762,-0.5956,38004.48768,18.39,415.2410575,0,38029.51232,414.2884914,None
1726155138,EVTOL1001-rodolphe02,None,51.47119,-0.47599,152.2598425,103.0078125,28,0,158.8215223,6,0
1726155138,UAL941  -rodolphe02,None,51.4888,-0.5595,3095.128079,286.25,182.2900467,0,968.0344828,171.1508554,None
