duration,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
2.5571305751800537,0.2071993,3.1079895,0.5879523,5.6535053,0.8970319,201.83218,3.4889855,0.0,0.05264972,0.22857143,0.23809524,0.104761906,0.25714287,0.17142858,-3.573164,-38.72648,1.0635291,1.5063217,-0.342,-0.0,-0.05,-0.050792623
2.6707804203033447,0.2367093,3.5506394,0.54073966,6.290898,0.99531054,223.94487,3.7567492,0.0,0.06668952,0.35238096,0.24761905,0.16190477,0.08571429,0.15238096,-2.9357715,-31.818325,1.031378,1.4502523,-0.318,-0.0,-0.05,-0.05087432
2.4609036445617676,0.24074422,3.6111634,0.5802106,6.591413,1.040066,234.01486,4.3225636,0.0,0.073083155,0.3809524,0.24761905,0.0952381,0.17142858,0.104761906,-2.6352563,-28.561295,1.3429933,1.4425858,0.0,-0.0,-0.05,-0.04959266
2.69242787361145,0.18607356,2.7911034,0.5056591,6.5059395,0.9643399,216.97649,4.0422664,0.0,0.062265147,0.32380953,0.17142858,0.123809524,0.22857143,0.15238096,-2.7207298,-29.487669,0.47134596,1.5464606,-0.972,-0.0,-0.05,-0.053114712
2.4391610622406006,0.23333322,3.4999983,0.5735365,5.167136,0.8515589,191.60075,3.3556068,0.0,0.04615356,0.1904762,0.21904762,0.06666667,0.2857143,0.23809524,-4.059533,-43.997818,1.0136973,1.4566674,-0.34800002,-0.0,-0.05,-0.044970155
2.7176384925842285,0.20817842,3.1226761,0.5190182,6.0639744,0.9349768,210.36978,3.702969,0.0,0.058070403,0.30476192,0.1904762,0.07619048,0.22857143,0.2,-3.162695,-34.277756,1.4053663,1.5044612,0.0,-0.0,-0.05,-0.049094915
2.6508469581604004,0.18438405,2.7657607,0.53024447,5.622789,0.8696121,195.66272,3.588018,0.0,0.048732582,0.1904762,0.14285715,0.123809524,0.25714287,0.2857143,-3.6038804,-39.059387,1.4502622,1.5496708,0.0,-0.0,-0.05,-0.04940867
2.9103870391845703,0.24156302,3.6234453,0.6549068,5.895779,0.94005847,211.51315,3.8181012,0.0,0.05879637,0.24761905,0.25714287,0.114285715,0.20952381,0.17142858,-3.3308902,-36.10068,0.99501914,1.4410307,-0.34800002,-0.0,-0.05,-0.048011523
2.3283932209014893,0.22842704,3.4264057,0.66828465,5.668387,0.9114907,205.0854,3.6401732,0.0,0.05471525,0.23809524,0.18095239,0.16190477,0.23809524,0.18095239,-3.5582824,-38.56519,0.37717193,1.4659888,-0.99,-0.0,-0.05,-0.04881674
2.3958094120025635,0.20897436,3.1346154,0.6306487,6.773365,1.0163734,228.68402,4.2771463,0.0,0.0696985,0.2952381,0.2761905,0.13333334,0.17142858,0.123809524,-2.4533043,-26.589275,1.4010056,1.5029489,0.0,-0.0,-0.05,-0.05194325
2.5294065475463867,0.1914806,2.872209,0.49596354,5.896411,0.91343254,205.52232,3.5345888,0.0,0.054992657,0.20952381,0.23809524,0.08571429,0.2857143,0.18095239,-3.3302584,-36.09383,1.4344634,1.5361875,0.0,-0.0,-0.05,-0.051724184
2.512824058532715,0.20017768,3.0026653,0.4665689,5.3134747,0.8398496,188.96616,3.501049,0.0,0.044480797,0.17142858,0.0952381,0.18095239,0.2857143,0.26666668,-3.9131947,-42.41178,1.08553,1.5196626,-0.33600003,-0.0,-0.05,-0.048132718
2.425203323364258,0.21477191,3.2215786,0.44054922,5.159357,0.83960074,188.91017,3.210235,0.0,0.044445254,0.18095239,0.0952381,0.1904762,0.2952381,0.23809524,-4.0673122,-44.08213,1.3952795,1.4919333,0.0,-0.0,-0.05,-0.046653867
2.2747528553009033,0.22452512,3.3678768,0.5375097,5.378314,0.87072206,195.91246,3.4951193,0.0,0.048891153,0.21904762,0.18095239,0.114285715,0.26666668,0.21904762,-3.8483553,-41.70904,1.0694305,1.4734021,-0.306,-0.0,-0.05,-0.04797178
2.339914560317993,0.2020549,3.0308235,0.5583426,5.6835318,0.8474664,190.67995,3.3123493,0.0,0.045568928,0.15238096,0.20952381,0.13333334,0.2761905,0.22857143,-3.5431376,-38.401043,0.7723185,1.516096,-0.642,-0.0,-0.05,-0.051777482
2.407078504562378,0.21493821,3.2240732,0.59790283,6.152849,0.94425195,212.4567,3.6666594,0.0,0.05939544,0.23809524,0.23809524,0.16190477,0.2,0.16190477,-3.07382,-33.314514,0.44102103,1.4916174,-0.9480001,-0.0,-0.05,-0.05259633
2.4032790660858154,0.22006449,3.3009675,0.47777426,5.209876,0.83958685,188.90704,3.2561884,0.0,0.04444326,0.1904762,0.14285715,0.114285715,0.2857143,0.26666668,-4.0167933,-43.534595,1.060755,1.4818784,-0.324,-0.0,-0.05,-0.04712345
2.6433753967285156,0.20866801,3.1300201,0.49833,5.062469,0.82251006,185.06476,3.2097378,0.0,0.042003736,0.17142858,0.0952381,0.18095239,0.2952381,0.25714287,-4.1642003,-45.132214,1.4293734,1.5035311,0.0,-0.0,-0.024962509,-0.049195148
2.577507495880127,0.20367399,3.0551097,0.58043027,5.782532,0.90216255,202.98657,3.4650903,0.0,0.053382657,0.25714287,0.18095239,0.07619048,0.26666668,0.21904762,-3.444137,-37.328064,1.4130532,1.5130205,0.0,-0.0,-0.05,-0.049967367
2.7140774726867676,0.20083031,3.0124547,0.40071523,5.0970354,0.81834954,184.12865,3.3123312,0.0,0.041409373,0.16190477,0.123809524,0.104761906,0.25714287,0.35238096,-4.129634,-44.75758,1.1013491,1.5184226,-0.324,-0.0,-0.046017587,-0.0470558
2.505962371826172,0.27239025,4.0858536,0.7450012,6.0593343,0.98774683,222.24304,4.2855773,0.0,0.06560898,0.34285715,0.24761905,0.114285715,0.17142858,0.123809524,-3.167335,-34.328045,1.2834408,1.3824587,0.0,-0.0,-0.05,-0.049017873
2.3953375816345215,0.21096998,3.1645498,0.6682918,5.6437483,0.8979355,202.03549,3.4991941,0.0,0.052778788,0.22857143,0.2,0.13333334,0.18095239,0.25714287,-3.582921,-38.832222,1.3975431,1.4991566,0.0,-0.0,-0.05,-0.05161352
2.5029518604278564,0.2136043,3.2040646,0.43949383,5.7369385,0.91198534,205.1967,3.4418526,0.0,0.05478591,0.23809524,0.23809524,0.104761906,0.25714287,0.16190477,-3.4897308,-37.822216,1.3959357,1.4941521,0.0,-0.0,-0.05,-0.048216492
2.4073498249053955,0.19495983,2.9243975,0.5319448,5.741625,0.8803667,198.0825,3.497148,0.0,0.05026896,0.18095239,0.1904762,0.14285715,0.24761905,0.23809524,-3.4850445,-37.771427,1.1112866,1.5295807,-0.318,-0.0,-0.05,-0.05029412
2.4179749488830566,0.21577083,3.2365625,0.60313714,6.035595,0.92137015,207.30829,4.003579,0.0,0.05612661,0.21904762,0.2,0.15238096,0.20952381,0.21904762,-3.1910744,-34.585335,0.7168861,1.4900359,-0.67200005,-0.0,-0.05,-0.051149696
2.4304890632629395,0.21917109,3.2875664,0.48840854,4.637562,0.76783836,172.76363,2.9387438,0.0,0.03419348,0.104761906,0.08571429,0.07619048,0.32380953,0.40952381,-4.5891075,-49.737423,1.4179473,1.4835747,0.0,-0.0,-0.019591266,-0.04603619
2.6096627712249756,0.19255596,2.8883395,0.5611905,6.160035,0.94422317,212.45021,3.857807,0.0,0.05939131,0.26666668,0.21904762,0.0952381,0.15238096,0.26666668,-3.0666342,-33.236633,1.434068,1.5341445,0.0,-0.0,-0.05,-0.05007663
2.458850860595703,0.22869565,3.4304347,0.5536844,5.423079,0.8812957,198.29153,3.5928164,0.0,0.05040168,0.22857143,0.2,0.104761906,0.26666668,0.2,-3.8035903,-41.223873,1.3675952,1.4654789,0.0,-0.0,-0.05,-0.047883727
2.397080183029175,0.20814128,3.1221192,0.5450818,6.129945,0.93744373,210.92484,3.64219,0.0,0.05842282,0.2761905,0.20952381,0.104761906,0.1904762,0.21904762,-3.0967245,-33.562756,1.0812793,1.5045321,-0.324,-0.0,-0.05,-0.049252883
