duration,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
1.8520383834838867,0.18514344,1.4811475,0.5672601,6.690285,0.9715173,62.17711,3.992797,0.0,0.15909956,0.53571427,0.14285715,0.071428575,0.10714286,0.14285715,-0.7167525,-9.676641,0.8939919,1.5482275,-0.566,-0.0,-0.05,-0.038235705
2.1408421993255615,0.19753717,1.5802974,0.47239745,5.6454062,0.85777676,54.897713,3.6740305,0.0,0.12660225,0.42857143,0.17857143,0.10714286,0.14285715,0.14285715,-1.7616315,-23.783213,0.3810085,1.5246794,-1.084,-0.0,-0.025960436,-0.033710435
2.2106516361236572,0.19722757,1.5778205,0.5078337,6.377245,0.9398386,60.14967,3.5914345,0.0,0.1500485,0.53571427,0.10714286,0.10714286,0.10714286,0.14285715,-1.0297928,-13.902897,0.8565524,1.525268,-0.584,-0.0,-0.05,-0.03471556
2.0538723468780518,0.19101483,1.5281186,0.4676165,6.3856874,0.9431682,60.362766,3.7455025,0.0,0.15099983,0.5,0.14285715,0.0,0.21428572,0.14285715,-1.0213504,-13.78892,1.4531796,1.5370721,0.0,-0.0,-0.05,-0.033892523
2.1438255310058594,0.18781593,1.5025275,0.38191596,6.8676476,0.97413504,62.344643,3.771122,0.0,0.15984747,0.60714287,0.14285715,0.071428575,0.10714286,0.071428575,-0.5393901,-7.282132,0.9126611,1.5431496,-0.54800004,-0.0,-0.05,-0.032488454
2.0898821353912354,0.2449129,1.9593031,0.59387535,6.389684,0.95614475,61.193264,4.1339407,0.0,0.15470739,0.42857143,0.21428572,0.071428575,0.10714286,0.17857143,-1.0173535,-13.734961,0.21868725,1.4346654,-1.132,-0.0,-0.05,-0.033978198
2.087810754776001,0.2502503,2.0020025,0.52054703,6.2865086,0.9518706,60.91972,3.6776907,0.0,0.1534862,0.53571427,0.14285715,0.071428575,0.10714286,0.14285715,-1.1205292,-15.127897,0.78072876,1.4245244,-0.554,-0.0,-0.05,-0.039795645
2.2152421474456787,0.28029084,2.2423267,0.65298784,6.9485064,1.0866115,69.54314,3.9805639,0.0,0.19198361,0.60714287,0.17857143,0.071428575,0.071428575,0.071428575,-0.45853138,-6.190485,1.2794125,1.3674474,0.0,-0.0,-0.05,-0.038034897
1.9205150604248047,0.21461657,1.7169325,0.5668768,6.4812884,0.97521234,62.41359,3.798952,0.0,0.16015525,0.53571427,0.14285715,0.10714286,0.035714287,0.17857143,-0.9257493,-12.498241,1.4037484,1.4922287,0.0,-0.0,-0.05,-0.03848039
2.2026937007904053,0.20977658,1.6782126,0.4367804,6.086384,0.91973525,58.863056,3.7704282,0.0,0.14430466,0.53571427,0.10714286,0.0,0.2857143,0.071428575,-1.3206539,-17.829716,1.4203091,1.5014246,0.0,-0.0,-0.05,-0.031115511
