duration,n_vertiports,n_obstacles,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
0.15078068,6.0,3.0,0.0,0.48567247,2.9140348,0.8330357,5.6884465,0.95942944,34.53946,3.3911996,0.0,0.18872763,0.4,0.06666667,0.06666667,0.2,0.26666668,1.596951,39.030983,5.7358675,10.135867,-9.0,4.5,-4.603852e-08,0.1
0.1275444,5.0,4.0,0.0,0.094441846,0.47220922,0.12575863,4.5770874,0.41353312,10.338328,1.9330809,0.323,0.12398658,0.6,0.0,0.1,0.2,0.1,3.3786335,281.91605,-5.2766,6.6234,-12.0,0.0,-7.42218e-10,0.1
0.1513741,6.0,6.0,0.0,0.15529706,0.93178236,0.52251905,6.758774,0.8488937,30.560173,3.4978805,0.0,0.20075484,0.6,0.13333334,0.0,0.2,0.06666667,3.9125342,137.46329,-8.6462,4.7537994,-18.0,4.5,-7.670071e-08,0.1
0.11958027,3.0,6.0,0.0,0.6785009,2.0355027,1.1404964,5.474838,0.6069734,5.462761,2.145421,0.425,0.1906368,0.33333334,0.0,0.0,0.0,0.6666667,3.3853436,162.01736,-7.1933336,6.2066665,-18.0,4.5,-2.5915469e-08,0.1
0.15402913,4.0,7.0,0.0,0.42683667,1.7073467,0.8583458,4.6127005,0.62034893,9.925583,2.6330445,0.277,0.23240249,0.8333333,0.0,0.16666667,0.0,0.0,2.808942,155.72717,-7.520667,8.879333,-21.0,4.5,-2.5576279e-08,0.1
0.13003373,4.0,1.0,0.0,0.21062285,0.8424914,0.4815192,6.0223894,0.78258073,12.521292,2.5746598,0.0,0.25377643,0.33333334,0.16666667,0.16666667,0.16666667,0.16666667,3.7446303,164.39975,5.97,4.37,-3.0,4.5,-1.0552068e-07,0.1
