duration,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,reward,self-intersections
114.856285,0.0,0.77414757,2.3224428,0.9518631,4.5836973,0.54715437,4.9243894,1.8426404,0.471,0.37640378,1.0,0.0,0.0,0.0,0.0,19.38,0.0
1598.9847,0.0,0.44877067,3.1413946,1.26676,6.973001,0.8993037,44.06588,4.6887445,0.0,0.14079607,0.3809524,0.0952381,0.0952381,0.0952381,0.2857143,3.7847614,1.0
154.6716,0.0,0.084538646,0.33815458,0.19858822,2.2006931,0.2513831,4.0221295,1.2042961,0.0,0.025271643,0.16666667,0.0,0.0,0.16666667,0.16666667,4.1435003,1.0
372.96472,2.0,0.18770872,0.7508349,0.39970523,3.7283244,0.46475607,7.436097,2.048142,0.0,0.05239436,0.16666667,0.0,0.0,0.0,0.5,11.622666,0.0
189.8486,1.0,0.4917706,1.4753118,0.97311664,3.4105105,0.43838775,3.9454896,1.888331,0.379,0.16655983,0.33333334,0.0,0.0,0.0,0.6666667,3.8873339,1.0
404.85742,0.0,0.30450487,2.131534,0.83303416,6.0013037,0.8769517,42.970634,4.02118,0.0,0.109535165,0.2857143,0.0,0.0,0.42857143,0.2857143,3.957571,1.0
190.10947,0.0,0.4741457,2.3707285,0.6049681,3.3704886,0.6747722,16.869305,2.5381966,0.0,0.08125939,0.1,0.1,0.0,0.2,0.6,9.815701,0.0
501.90945,0.0,0.42043883,1.6817553,0.60661906,5.1014,0.8729445,13.967112,3.1393595,0.0,0.24360563,0.33333334,0.0,0.0,0.33333334,0.33333334,17.387,0.0
384.30295,0.0,0.3060884,2.1426187,0.71225274,5.563674,0.7890582,38.663853,3.464333,0.0,0.094369926,0.23809524,0.14285715,0.04761905,0.14285715,0.33333334,11.491048,0.0
294.7919,0.0,0.61957985,3.7174792,0.88958126,2.867806,0.7300487,26.281754,2.2230883,0.0,0.12892286,0.4,0.13333334,0.0,0.13333334,0.33333334,3.3514667,0.0
133.18552,0.0,0.5164462,1.5493385,1.0434902,5.261012,0.44441396,3.9997256,1.5387129,0.373,0.01259568,0.0,0.0,0.0,0.33333334,0.33333334,20.893667,0.0
196.83696,0.0,0.17080235,0.8540118,0.28222418,3.9282885,0.31238523,7.809631,1.4306562,0.276,-0.018404126,0.0,0.1,0.0,0.0,0.3,2.8715,0.0
375.9277,0.0,0.34822977,1.7411488,0.5744208,4.882573,0.31069615,7.7674036,0.99146724,0.403,0.0032814876,0.2,0.0,0.2,0.0,0.1,7.0808,1.0
