duration,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
1.5287175178527832,0.4706715,2.824029,0.90029556,6.1713367,0.8127595,29.259342,3.4004316,0.303,0.13005967,0.2,0.13333334,0.06666667,0.4,0.2,2.0798411,50.833275,-3.602751,1.0057241,0.0,-4.5,-0.05,-0.058475044
1.5358977317810059,0.09733023,0.48665112,0.20076829,4.9031296,0.5037652,12.5941305,2.1383922,0.314,0.16910264,0.7,0.0,0.0,0.2,0.1,3.7046757,309.12128,1.6599836,1.7150728,0.0,-0.0,-0.05,-0.0050891223
1.5888621807098389,0.14440088,0.8664053,0.55552167,6.0637455,0.8320343,29.953234,3.1886356,0.0,0.19401108,0.53333336,0.13333334,0.2,0.13333334,0.0,3.217506,113.0441,-2.9536908,1.6256394,0.0,-4.5,-0.05,-0.02933015
1.419602870941162,0.70021296,2.1006389,1.0966487,4.7432303,0.5807812,5.2270308,1.8691959,0.423,0.1644445,0.33333334,0.0,0.0,0.0,0.6666667,2.653736,127.00377,-4.013028,0.56959546,0.0,-4.5,-0.05,-0.032623712
1.6021788120269775,0.43186793,1.7274717,0.90674686,4.5776544,0.66218704,10.594993,2.7728667,0.253,0.26029462,0.8333333,0.16666667,0.0,0.0,0.0,2.773896,153.78423,-3.9051747,1.0794508,-0.44657144,-4.5,-0.05,0.011945987
1.4244556427001953,0.30222026,1.208881,0.5854528,5.201323,0.7485833,11.977333,2.484714,0.0,0.23111145,0.33333334,0.16666667,0.16666667,0.16666667,0.16666667,2.923564,128.35265,-3.2592351,1.3257813,0.0,-4.5,-0.05,-0.035016537
6.152337551116943,0.44647747,2.2323873,0.9735207,4.8493195,0.89449346,22.362337,3.7261603,0.0,0.21869394,0.4,0.0,0.2,0.1,0.3,-0.34135675,-6.5763474,-3.5260234,1.0516928,0.0,-4.5,-0.05,-0.027716493
1.7583599090576172,0.3264105,2.2848735,0.87973684,5.3054695,0.76092887,37.285515,3.4055138,0.0,0.08734257,0.14285715,0.23809524,0.0952381,0.33333334,0.1904762,-0.72491455,-12.021035,-3.3202608,1.2798196,0.0,-4.5,-0.05,-0.050080277
1.6368961334228516,0.50525105,2.0210042,0.8113312,2.7663476,0.51895225,8.303236,1.8503435,0.411,0.10606162,0.16666667,0.0,0.16666667,0.16666667,0.5,-0.8447542,-23.393255,-3.6303897,0.94002295,0.0,-4.5,-0.05,-0.02041268
1.8315961360931396,0.24318667,1.45912,0.44531333,6.356474,0.7906163,28.462187,3.6270666,0.31,0.14578421,0.33333334,0.2,0.06666667,0.13333334,0.26666668,1.3003998,25.719559,1.3385559,1.4379451,0.0,-0.0,-0.05,-0.049389258
1.977367877960205,0.5799857,4.0599,1.3097885,6.0952806,0.90524393,44.356953,3.3247147,0.35,0.16444042,0.42857143,0.2857143,0.04761905,0.14285715,0.0952381,1.5315542,33.559288,0.7102179,0.79802793,0.0,-0.0,-0.05,-0.037810054
1.7806215286254883,0.21443447,0.8577379,0.32068425,4.893674,0.49919906,7.987185,1.9224087,0.371,0.08087699,0.16666667,0.0,0.0,0.0,0.8333333,1.2041626,32.63745,-3.1052628,1.4925747,0.0,-4.5,-0.05,-0.047837593
2.575453042984009,0.2939024,2.0573168,0.7412586,5.3810945,0.7957644,38.992455,2.7241828,0.0,0.114039265,0.3809524,0.0952381,0.0952381,0.14285715,0.2857143,0.35223293,7.0042253,-3.2432497,1.3415854,0.0,-4.5,-0.05,-0.03483511
